i,Process10,Process20,Process30
504,11,15,32
505,11,15,32
506,11,15,32
507,11,15,32
508,11,15,32
509,11,15,32
510,11,15,32
511,11,15,32
512,11,15,32
513,11,15,32
514,11,15,33
515,11,15,33
516,11,15,33
517,11,15,33
518,11,15,33
519,11,15,33
520,11,15,33
521,11,15,33
522,11,15,33
523,11,15,33
524,11,15,33
525,11,15,33
526,11,15,33
527,11,15,33
528,11,15,33
529,11,16,33
530,11,16,33
531,11,16,33
532,11,16,33
533,11,16,33
534,11,16,33
535,11,16,33
536,11,16,33
537,11,16,33
538,11,16,33
539,11,16,33
540,11,16,33
541,11,16,33
542,11,16,33
543,11,16,33
544,11,16,33
545,11,16,33
546,11,16,33
547,11,16,33
548,11,16,33
549,11,16,33
550,11,16,33
551,11,16,33
552,11,16,33
553,11,16,33
554,11,16,33
555,11,16,33
556,11,16,33
557,11,16,33
558,11,16,33
559,12,17,33
560,12,17,33
561,12,17,33
562,12,17,33
563,12,17,33
564,12,17,33
565,12,17,33
566,13,18,33
567,13,18,33
568,13,18,33
569,13,18,33
570,13,18,33
571,13,18,33
572,13,18,33
573,13,18,33
574,13,18,34
575,13,18,34
576,13,18,34
577,13,18,34
578,13,18,34
579,13,18,34
580,13,18,34
581,13,18,34
582,13,18,34
583,13,18,34
584,13,18,34
585,13,18,34
586,13,18,34
587,13,18,34
588,13,18,34
589,13,20,34
590,13,20,34
591,13,20,34
592,13,20,34
593,13,20,34
594,13,20,34
595,13,20,34
596,13,20,34
597,13,20,34
598,13,20,34
599,13,20,34
600,13,20,34
601,13,20,34
602,13,20,34
603,13,20,34
604,13,20,34
605,13,20,34
606,13,20,34
607,13,20,34
608,13,20,34
609,13,20,34
610,13,20,34
611,13,20,34
612,13,20,34
613,13,20,34
614,13,20,34
615,13,20,34
616,13,20,34
617,13,20,34
618,13,20,34
619,14,20,34
620,14,20,34
621,14,20,34
622,14,20,34
623,14,20,34
624,14,20,34
625,14,20,34
626,14,20,34
627,14,20,34
628,14,20,34
629,14,20,34
630,14,20,34
631,14,20,34
632,14,20,34
633,14,20,34
634,14,20,34
635,14,20,34
636,14,20,34
637,14,20,34
638,14,20,34
639,14,20,34
640,14,20,34
641,14,20,34
642,14,20,34
643,14,20,34
644,14,20,34
645,14,20,34
646,14,20,34
647,14,20,34
648,14,20,34
649,14,20,34
650,14,20,34
651,14,20,34
652,14,20,34
653,14,20,34
654,14,20,34
655,14,20,34
656,14,20,34
657,14,20,34
658,14,20,34
659,14,20,34
660,14,20,34
661,14,20,34
662,14,20,35
663,14,20,35
664,14,20,35
665,14,20,35
666,14,20,35
667,14,20,35
668,14,20,35
669,14,20,35
670,14,20,37
671,14,20,37
672,14,20,37
673,14,20,37
674,14,20,37
675,14,20,37
676,14,20,37
677,14,20,37
678,14,20,37
679,14,20,37
680,14,20,37
681,14,20,37
682,14,20,37
683,14,20,37
684,14,20,37
685,14,20,37
686,14,20,37
687,14,20,37
688,14,20,37
689,14,20,37
690,14,20,37
691,14,20,37
692,16,22,38
693,16,22,38
694,16,22,38
695,16,22,38
696,16,22,38
697,16,22,38
698,16,22,38
699,16,22,39
700,16,22,39
701,16,22,39
702,16,22,39
703,16,22,39
704,16,22,39
705,16,22,39
706,16,22,39
707,16,22,39
708,16,22,39
709,16,22,39
710,16,22,39
711,16,22,39
712,16,22,39
713,16,22,39
714,16,22,39
715,16,22,39
716,16,22,39
717,16,22,39
718,16,22,39
719,16,22,39
720,16,22,39
721,16,22,39
722,16,22,39
723,16,22,39
724,16,22,39
725,16,22,39
726,16,22,39
727,16,22,39
728,16,22,39
729,17,22,39
730,17,22,39
731,17,22,39
732,17,22,39
733,17,22,39
734,17,22,39
735,17,22,39
736,17,22,40
737,17,22,40
738,17,22,40
739,17,22,40
740,17,22,40
741,17,22,40
742,17,22,40
743,17,22,40
744,17,22,40
745,17,22,40
746,17,22,40
747,17,22,40
748,17,22,40
749,17,22,40
750,17,22,40
751,17,22,40
752,17,22,40
753,17,22,40
754,17,22,40
755,17,22,40
756,17,22,40
757,17,22,40
758,17,23,40
759,17,23,40
760,17,23,40
761,17,23,40
762,17,23,40
763,17,23,40
764,17,23,40
765,17,23,40
766,17,23,40
767,17,23,40
768,17,23,40
769,17,23,40
770,17,23,40
771,17,23,40
772,17,23,40
773,17,23,40
774,17,23,40
775,17,23,40
776,17,23,40
777,17,23,40
778,17,23,40
779,17,23,40
780,17,23,40
781,17,23,40
782,17,23,40
783,17,23,40
784,17,23,40
785,17,23,40
786,17,23,40
787,17,23,40
788,17,23,40
789,17,23,40
790,17,23,40
791,17,23,40
792,17,23,40
793,17,23,40
794,17,23,40
795,17,23,40
